number,value,params_pca_components,params_selector_threshold,params_train_eta,params_train_max_depth,params_use_feature_gen,params_use_pca,state
254,0.056026502899107024,10,0*mean,0.01005286333818714,8,False,False,COMPLETE
255,0.0560273859232248,10,0*mean,0.010055138412507046,8,False,False,COMPLETE
256,0.0560274949175663,10,0*mean,0.010045818705700343,8,False,False,COMPLETE
257,,10,0*mean,0.010056876956405733,8,True,False,RUNNING
258,0.05609739547524069,10,0*mean,0.010087026618655027,8,True,False,COMPLETE
259,0.05602870295158595,10,0*mean,0.01000320340514155,8,False,False,COMPLETE
260,0.05602765475469181,10,0*mean,0.010057481323574034,8,False,False,COMPLETE
261,0.056027607242509915,10,0*mean,0.010019455139311453,8,False,False,COMPLETE
262,0.06163660379653949,10,0.5*mean,0.010021067074471496,8,False,False,COMPLETE
263,0.05603069664777666,10,0*mean,0.010174444879316128,8,False,False,COMPLETE
264,0.05602920644901914,10,0*mean,0.010071945194753,8,False,False,COMPLETE
265,0.056028775655209605,10,0*mean,0.010041291903182181,8,False,False,COMPLETE
266,0.05602739463630665,10,0*mean,0.01009159375061011,8,False,False,COMPLETE
267,0.056029661150482024,10,0*mean,0.010015693027468998,8,False,False,COMPLETE
268,0.056027802961723806,10,0*mean,0.010646928409900518,8,False,False,COMPLETE
269,0.05624508456641934,10,0.25*mean,0.010731280403335713,8,False,False,COMPLETE
270,0.05602720027456794,10,0*mean,0.010653412729106517,8,False,False,COMPLETE
271,0.05602905462792331,10,0*mean,0.010744088109065556,8,False,False,COMPLETE
272,0.06163682735746366,10,0.75*mean,0.010674413405842112,8,False,False,COMPLETE
273,0.05602880675925431,10,0*mean,0.010643598598790608,8,False,False,COMPLETE
274,0.056080698696244505,10,0*mean,0.01127325532892944,9,False,False,COMPLETE
275,0.056028563070972516,10,0*mean,0.010708006116971662,8,False,False,COMPLETE
276,0.056029238287381634,10,0*mean,0.01071548328845333,8,False,False,COMPLETE
277,,10,0*mean,0.01127306233194053,8,True,False,RUNNING
